交轴电感(Lq)曲线
Lq(Id=0)
true
交轴电流Iq[amp],交轴电感Lq[henry]
-3.227180004119873,0.07114189118146896
-3.0120346546173096,0.0712556317448616
-2.796889305114746,0.07136122137308121
-2.5817439556121826,0.07145724445581436
-2.366598606109619,0.07154355198144913
-2.1514534950256348,0.0716206431388855
-1.9363080263137817,0.07168964296579361
-1.7211626768112183,0.07175131887197495
-1.5060173273086548,0.07180498540401459
-1.2908719778060913,0.07185022532939911
-1.0757267475128174,0.07188677042722702
-0.8605813980102539,0.07191530615091324
-0.6454360485076904,0.07193630933761597
-0.43029069900512695,0.07195029407739639
-0.21514534950256348,0.07195840775966644
0,0.07196101546287537
0.21514534950256348,0.07195793837308884
0.43029069900512695,0.07194940000772476
0.6454360485076904,0.07193495333194733
0.8605813980102539,0.07191337645053864
1.0757265090942383,0.0718844085931778
1.2908720970153809,0.07184750586748123
1.5060172080993652,0.07180173695087433
1.7211627960205078,0.0717473179101944
1.9363079071044922,0.07168499380350113
2.1514534950256348,0.07161489874124527
2.366598606109619,0.07153648138046265
2.5817441940307617,0.0714484304189682
2.796889305114746,0.0713505893945694
3.0120348930358887,0.07124318182468414
3.227180004119873,0.07112706452608109
