交轴磁链(Psiq)曲线
Psiq(Id=0)
true
交轴电流Iq[amp],交轴磁链Psiq[weber]
-3.227180004119873,-0.2179935872554779
-3.0120346546173096,-0.2041206657886505
-2.796889305114746,-0.19012998044490814
-2.5817439556121826,-0.17600786685943604
-2.366598606109619,-0.16175612807273865
-2.1514534950256348,-0.14738920331001282
-1.9363080263137817,-0.13292551040649414
-1.7211626768112183,-0.11837700009346008
-1.5060173273086548,-0.10375207662582397
-1.2908719778060913,-0.08904881775379181
-1.0757267475128174,-0.07427602261304855
-0.8605813980102539,-0.05945427715778351
-0.6454360485076904,-0.04459081590175629
-0.43029069900512695,-0.029703499749302864
-0.21514534950256348,-0.014802568592131138
0,0.00010247321188217029
0.21514534950256348,0.015007746405899525
0.43029069900512695,0.02990897372364998
0.6454360485076904,0.04479513317346573
0.8605813980102539,0.05965632572770119
1.0757265090942383,0.07447773218154907
1.2908720970153809,0.08925022184848785
1.5060172080993652,0.10395196080207825
1.7211627960205078,0.11857274919748306
1.9363079071044922,0.13311603665351868
2.1514534950256348,0.14757201075553894
2.366598606109619,0.1619281768798828
2.5817441940307617,0.17616340517997742
2.796889305114746,0.1902715116739273
3.0120348930358887,0.20424853265285492
3.227180004119873,0.21810154616832733
