直轴磁链(Psid)曲线
Psid(Iq=0)
true
直轴电流Id[amp],直轴磁链Psid[weber]
-3.227180004119873,0.34487593173980713
-3.0120346546173096,0.3605777323246002
-2.796889305114746,0.37626615166664124
-2.5817439556121826,0.391937792301178
-2.366598606109619,0.4075869023799896
-2.1514534950256348,0.4232066571712494
-1.9363080263137817,0.4387848973274231
-1.7211626768112183,0.45430848002433777
-1.5060173273086548,0.46975433826446533
-1.2908719778060913,0.48509567975997925
-1.0757267475128174,0.5002979636192322
-0.8605813980102539,0.515312671661377
-0.6454360485076904,0.5301082134246826
-0.43029069900512695,0.5446372032165527
-0.21514534950256348,0.5588936805725098
0,0.5728481411933899
0.21514534950256348,0.5864861607551575
0.43029069900512695,0.5997719764709473
0.6454360485076904,0.6126356720924377
0.8605813980102539,0.6249575018882751
1.0757265090942383,0.636655867099762
1.2908720970153809,0.6477605700492859
1.5060172080993652,0.6582677364349365
1.7211627960205078,0.66818767786026
1.9363079071044922,0.677645742893219
2.1514534950256348,0.6867326498031616
2.366598606109619,0.6953949928283691
2.5817441940307617,0.7036335468292236
2.796889305114746,0.7116165161132812
3.0120348930358887,0.7193536162376404
3.227180004119873,0.7268294095993042
