交轴电感(Lq)曲线
Lq(Id=0)
true
交轴电流Iq[amp],交轴电感Lq[henry]
-133.2738037109375,0.00017520402616355568
-124.38888549804688,0.00017733158892951906
-115.50396728515625,0.00017957747331820428
-106.6190414428711,0.00018199447367805988
-97.73412322998047,0.0001845604128902778
-88.84920501708984,0.000187197802006267
-79.96427917480469,0.0001897661277325824
-71.07936096191406,0.000192096849787049
-62.19444274902344,0.00019416442955844104
-53.30952453613281,0.00019595958292484283
-44.42460632324219,0.00019753682136069983
-35.53968048095703,0.00019890989642590284
-26.654762268066406,0.0002000313688768074
-17.76984405517578,0.0002008571318583563
-8.884918212890625,0.00020138666150160134
0,0.0002015801437664777
8.884918212890625,0.00020137398678343743
17.76983642578125,0.00020082855189684778
26.654754638671875,0.0001999749947572127
35.5396728515625,0.0001988265139516443
44.424591064453125,0.00019741177675314248
53.30952453613281,0.00019580044317990541
62.19444274902344,0.00019396339484956115
71.07936096191406,0.0001918532361742109
79.96427917480469,0.00018948476645164192
88.84919738769531,0.00018686658586375415
97.73411560058594,0.00018418877152726054
106.61903381347656,0.00018158166494686157
115.50396728515625,0.00017912047042045742
124.38888549804688,0.00017680894234217703
133.2738037109375,0.00017464299162384123
