直轴磁链(Psid)曲线
Psid(Iq=0)
true
直轴电流Id[amp],直轴磁链Psid[weber]
-133.2738037109375,0.01489573810249567
-124.38888549804688,0.01564938761293888
-115.50396728515625,0.01640481874346733
-106.6190414428711,0.01716284453868866
-97.73412322998047,0.01792251504957676
-88.84920501708984,0.01868410035967827
-79.96427917480469,0.01944725401699543
-71.07936096191406,0.02021118812263012
-62.19444274902344,0.02097555436193943
-53.30952453613281,0.021739864721894264
-44.42460632324219,0.022503234446048737
-35.53968048095703,0.023264534771442413
-26.654762268066406,0.02402193658053875
-17.76984405517578,0.024774940684437752
-8.884918212890625,0.025520171970129013
0,0.02625258080661297
8.884918212890625,0.02696339227259159
17.76983642578125,0.027651075273752213
26.654754638671875,0.028312010690569878
35.5396728515625,0.028948340564966202
44.424591064453125,0.029558692127466202
53.30952453613281,0.03014560230076313
62.19444274902344,0.03070664592087269
71.07936096191406,0.031242968514561653
79.96427917480469,0.03175811097025871
88.84919738769531,0.03224137797951698
97.73411560058594,0.03270593658089638
106.61903381347656,0.03314569219946861
115.50396728515625,0.03356855362653732
124.38888549804688,0.03396940603852272
133.2738037109375,0.03435801714658737
