交轴磁链(Psiq)曲线
Psiq(Id=0)
true
交轴电流Iq[amp],交轴磁链Psiq[weber]
-133.2738037109375,-0.01780685782432556
-124.38888549804688,-0.016929950565099716
-115.50396728515625,-0.01601988635957241
-106.6190414428711,-0.015083394944667816
-97.73412322998047,-0.01411078218370676
-88.84920501708984,-0.013091569766402245
-79.96427917480469,-0.012016447260975838
-71.07936096191406,-0.010878936387598515
-62.19444274902344,-0.009681228548288345
-53.30952453613281,-0.008427694439888
-44.42460632324219,-0.007126585114747286
-35.53968048095703,-0.005782147869467735
-26.654762268066406,-0.0043883975595235825
-17.76984405517578,-0.002947210567072034
-8.884918212890625,-0.0014676989521831274
0,0.00003732891855179332
8.884918212890625,0.001542544225230813
17.76983642578125,0.0030212877318263054
26.654754638671875,0.0044599357061088085
35.5396728515625,0.005851038731634617
44.424591064453125,0.007190043572336435
53.30952453613281,0.0084855230525136
62.19444274902344,0.00973136629909277
71.07936096191406,0.01091974787414074
79.96427917480469,0.01204747799783945
88.84919738769531,0.01311037689447403
97.73411560058594,0.014118223451077938
106.61903381347656,0.015079508535563946
115.50396728515625,0.016004038974642754
124.38888549804688,0.016896823421120644
133.2738037109375,0.017763499170541763
