直轴电感(Ld)曲线
Ld(Iq=0)
true
直轴电流Id[amp],直轴电感Ld[henry]
-133.2738037109375,0.00010579259105725214
-124.38888549804688,0.00010635528451530263
-115.50396728515625,0.00010693655349314213
-106.6190414428711,0.00010753808601293713
-97.73412322998047,0.00010816523717949167
-88.84920501708984,0.00010881739581236616
-79.96427917480469,0.00010949517309200019
-71.07936096191406,0.00011020101374015212
-62.19444274902344,0.00011093448847532272
-53.30952453613281,0.00011169969366164878
-44.42460632324219,0.00011249252565903589
-35.53968048095703,0.00011330842244205996
-26.654762268066406,0.00011413691390771419
-17.76984405517578,0.00011497418745420873
-8.884918212890625,0.0001158035738626495
0,0.00011660317977657542
8.884918212890625,0.0001173045311588794
17.76983642578125,0.00011789922427851707
26.654754638671875,0.00011836460180347785
35.5396728515625,0.00011871576134581119
44.424591064453125,0.00011895331408595666
53.30952453613281,0.00011910321336472407
62.19444274902344,0.00011914407514268532
71.07936096191406,0.00011907306907232851
79.96427917480469,0.00011892208567587659
88.84919738769531,0.00011859850201290101
97.73411560058594,0.00011820673535112292
106.61903381347656,0.00011769420234486461
115.50396728515625,0.00011712116975104436
124.38888549804688,0.00011645047925412655
133.2738037109375,0.00011575094686122611
